attack_name,attack_param,tpr,tpr_ci_lower,tpr_ci_upper,ber_mean,ber_ci_lower,ber_ci_upper,n_samples,t_critical,margin_tpr,margin_ber
brightness,0.5,0.99943359375,0.9985423512069935,1.0,0.00056640625000004,0.0,0.0014576487930064537,200,1.971956544249395,0.0008912425430064136,0.0008912425430064136
brightness,2.0,0.9976953125,0.99501233790707,1.0,0.0023046875000000133,0.0,0.004987662092930032,200,1.971956544249395,0.0026829745929300187,0.0026829745929300187
crop,0.8,0.51482421875,0.5102285514785347,0.5194198860214652,0.48517578125000005,0.4805801139785348,0.4897714485214653,200,1.971956544249395,0.00459566727146524,0.00459566727146524
gaussian_blur,2.0,0.99828125,0.9962493643018625,1.0,0.0017187499999999911,0.0,0.0037506356981374606,200,1.971956544249395,0.0020318856981374695,0.0020318856981374695
gaussian_blur,4.0,0.9819921875,0.9777250431986089,0.986259331801391,0.018007812500000053,0.013740668198609016,0.02227495680139109,200,1.971956544249395,0.004267144301391038,0.004267144301391038
gaussian_noise,0.01,0.998515625,0.9961132867513327,1.0,0.0014843749999999822,0.0,0.0038867132486672565,200,1.971956544249395,0.0024023382486672742,0.0024023382486672742
gaussian_noise,0.03,0.99634765625,0.9923513914017565,1.0,0.003652343750000009,0.0,0.007648608598243455,200,1.971956544249395,0.003996264848243446,0.003996264848243446
gaussian_noise,0.05,0.993125,0.9890103044294329,0.9972396955705671,0.0068749999999999645,0.002760304429432845,0.010989695570567084,200,1.971956544249395,0.004114695570567119,0.004114695570567119
jpeg,25.0,0.98646484375,0.9809785208665747,0.9919511666334253,0.013535156250000013,0.008048833366574644,0.019021479133425383,200,1.971956544249395,0.005486322883425369,0.005486322883425369
jpeg,50.0,0.995,0.9905073951001447,0.9994926048998553,0.0050000000000000044,0.0005073951001447049,0.009492604899855303,200,1.971956544249395,0.0044926048998552995,0.0044926048998552995
jpeg,75.0,0.9972265625,0.993810557485576,1.0,0.002773437500000031,0.0,0.006189442514423996,200,1.971956544249395,0.0034160050144239657,0.0034160050144239657
jpeg,90.0,0.9983203125,0.9956056738838621,1.0,0.0016796875000000266,0.0,0.004394326116137897,200,1.971956544249395,0.00271463861613787,0.00271463861613787
