attack_name,attack_param,image_file,accuracy,ber
brightness,0.5,0071.png,1.0,0.0
brightness,0.5,0072.png,1.0,0.0
brightness,0.5,0073.png,1.0,0.0
brightness,0.5,0074.png,1.0,0.0
brightness,0.5,0075.png,1.0,0.0
brightness,0.5,0076.png,1.0,0.0
brightness,0.5,0077.png,1.0,0.0
brightness,0.5,0078.png,1.0,0.0
brightness,0.5,0079.png,1.0,0.0
brightness,0.5,0080.png,1.0,0.0
brightness,0.5,0081.png,1.0,0.0
brightness,0.5,0082.png,1.0,0.0
brightness,0.5,0083.png,1.0,0.0
brightness,0.5,0084.png,1.0,0.0
brightness,0.5,0085.png,1.0,0.0
brightness,0.5,0086.png,1.0,0.0
brightness,0.5,0087.png,1.0,0.0
brightness,0.5,0088.png,1.0,0.0
brightness,0.5,0089.png,1.0,0.0
brightness,0.5,0090.png,1.0,0.0
brightness,0.5,0091.png,1.0,0.0
brightness,0.5,0092.png,1.0,0.0
brightness,0.5,0093.png,1.0,0.0
brightness,0.5,0094.png,1.0,0.0
brightness,0.5,0095.png,1.0,0.0
brightness,0.5,0096.png,1.0,0.0
brightness,0.5,0097.png,1.0,0.0
brightness,0.5,0098.png,1.0,0.0
brightness,0.5,0099.png,1.0,0.0
brightness,0.5,0100.png,1.0,0.0
brightness,0.5,0101.png,1.0,0.0
brightness,0.5,0102.png,1.0,0.0
brightness,0.5,0103.png,1.0,0.0
brightness,0.5,0104.png,1.0,0.0
brightness,0.5,0105.png,1.0,0.0
brightness,0.5,0106.png,1.0,0.0
brightness,0.5,0107.png,1.0,0.0
brightness,0.5,0108.png,1.0,0.0
brightness,0.5,0109.png,1.0,0.0
brightness,0.5,0110.png,1.0,0.0
brightness,0.5,0111.png,1.0,0.0
brightness,0.5,0112.png,1.0,0.0
brightness,0.5,0113.png,1.0,0.0
brightness,0.5,0114.png,1.0,0.0
brightness,0.5,0115.png,1.0,0.0
brightness,0.5,0116.png,1.0,0.0
brightness,0.5,0117.png,1.0,0.0
brightness,0.5,0118.png,1.0,0.0
brightness,0.5,0119.png,1.0,0.0
brightness,0.5,0120.png,1.0,0.0
brightness,0.5,0121.png,1.0,0.0
brightness,0.5,0122.png,1.0,0.0
brightness,0.5,0123.png,1.0,0.0
brightness,0.5,0124.png,1.0,0.0
brightness,0.5,0125.png,1.0,0.0
brightness,0.5,0126.png,1.0,0.0
brightness,0.5,0127.png,1.0,0.0
brightness,0.5,0128.png,1.0,0.0
brightness,0.5,0129.png,1.0,0.0
brightness,0.5,0130.png,1.0,0.0
brightness,0.5,0131.png,1.0,0.0
brightness,0.5,0132.png,1.0,0.0
brightness,0.5,0133.png,1.0,0.0
brightness,0.5,0134.png,0.99609375,0.00390625
brightness,0.5,0135.png,1.0,0.0
brightness,0.5,0136.png,1.0,0.0
brightness,0.5,0137.png,1.0,0.0
brightness,0.5,0138.png,1.0,0.0
brightness,0.5,0139.png,1.0,0.0
brightness,0.5,0140.png,1.0,0.0
brightness,0.5,0141.png,1.0,0.0
brightness,0.5,0142.png,1.0,0.0
brightness,0.5,0143.png,1.0,0.0
brightness,0.5,0144.png,1.0,0.0
brightness,0.5,0145.png,1.0,0.0
brightness,0.5,0146.png,1.0,0.0
brightness,0.5,0147.png,1.0,0.0
brightness,0.5,0148.png,1.0,0.0
